Player,Match,Result,RiP%,RiP W%,RetWnr%,FH/BH,RDI,Slice%,1st: RiP%,RiP W%,RetWnr%,RDI,Slice%,2nd: RiP%,RiP W%,RetWnr%,RDI,Slice%
Iga Swiatek,2023 Cancun Finals SF,W vsSabalenka,67.2%,53.7%,1.6%,1/0,2.16,16.2%,72.5%,41.4%,2.5%,2.16,20.0%,70.6%,83.3%,0.0%,2.18,8.3%
Iga Swiatek,2023 Cancun Finals RR,W vsVondrousova,74.5%,68.4%,2.0%,1/0,1.85,23.9%,80.6%,68.0%,0.0%,1.81,35.7%,86.7%,69.2%,6.7%,1.91,5.6%
Iga Swiatek,2023 Cancun Finals RR,W vsJabeur,78.3%,61.1%,2.2%,1/0,2.33,16.2%,80.0%,50.0%,0.0%,2.42,29.4%,100.0%,75.0%,6.3%,2.25,5.0%
Iga Swiatek,2023 Cancun Finals RR,W vsGauff,73.3%,61.4%,1.7%,1/0,2.51,0.0%,83.3%,60.0%,0.0%,2.49,0.0%,82.4%,64.3%,5.9%,2.58,0.0%
Iga Swiatek,2023 Beijing F,W vsSamsonova,73.5%,50.0%,2.0%,1/0,2.53,3.8%,76.0%,63.2%,4.0%,2.66,6.3%,94.4%,35.3%,0.0%,2.31,0.0%
Iga Swiatek,2023 Beijing SF,W vsGauff,80.0%,58.3%,3.3%,2/0,2.49,3.6%,75.0%,51.9%,2.8%,2.47,5.3%,91.3%,66.7%,4.3%,2.53,0.0%
Iga Swiatek,2023 Beijing QF,W vsGarcia,62.5%,57.1%,8.9%,6/4,2.77,5.1%,56.0%,50.0%,4.0%,2.79,7.5%,82.4%,67.9%,20.6%,2.74,0.0%
Iga Swiatek,2023 Beijing R16,W vsLinette,75.6%,71.0%,2.4%,0/1,2.72,0.0%,75.0%,66.7%,0.0%,2.59,0.0%,81.3%,76.9%,6.3%,2.84,0.0%
Iga Swiatek,2023 Beijing R32,W vsGracheva,75.9%,61.4%,0.0%,0/0,2.77,3.2%,65.5%,52.6%,0.0%,3.01,5.0%,92.6%,68.0%,0.0%,2.35,0.0%
Iga Swiatek,2023 Beijing R64,W vsSorribes Tormo,70.1%,70.2%,0.0%,0/0,2.67,0.0%,72.7%,71.9%,0.0%,2.78,0.0%,93.8%,66.7%,0.0%,2.35,0.0%
